emp_no,first_name,last_name,birth_date,from_date,to_date,title,dept,,,,,
241728,Limsoon,Boudaillier,30-01-65,08-08-99,01-01-99,Senior Engineer,d004,,,,,
242019,Herb,Murrill,09-01-65,28-10-01,01-01-99,Senior Engineer,d004,,,,,
243077,Kazunori,Perz,01-02-65,25-02-99,01-01-99,Senior Engineer,d004,,,,,
244714,Poorav,Clouatre,27-01-65,06-05-96,01-01-99,Senior Engineer,d004,,,,,
247447,Tzu,Bakhtari,28-01-65,18-03-94,01-01-99,Senior Engineer,d004,,,,,
249239,Hideyuki,Decleir,21-01-65,04-05-94,01-01-99,Senior Engineer,d005,,,,,
250452,Alexius,Plavsic,14-01-65,17-01-00,01-01-99,Senior Engineer,d005,,,,,
251680,Moty,Sommen,05-01-65,14-08-90,01-01-99,Senior Engineer,d005,,,,,
253893,Huiqun,Trystram,04-01-65,10-05-93,01-01-99,Senior Engineer,d004,,,,,
255466,Huan,Roccetti,18-01-65,03-07-85,01-01-99,Senior Engineer,d004,,,,,
255657,Oldrich,Cyre,20-01-65,10-02-85,01-01-99,Senior Engineer,d005,,,,,
259273,Xiahua,Gomatam,22-01-65,01-12-89,01-01-99,Senior Engineer,d004,,,,,
261184,Masako,Kornatzky,30-01-65,29-08-87,01-01-99,Senior Engineer,d004,,,,,
261737,Mark,Lindqvist,23-01-65,22-11-90,01-01-99,Senior Engineer,d004,,,,,
261986,Gila,Ramsak,21-01-65,13-05-97,01-01-99,Senior Engineer,d005,,,,,
262636,Tamiya,Reutenauer,04-01-65,10-04-92,01-01-99,Senior Engineer,d004,,,,,
262928,Piyush,Gill,01-01-65,20-02-95,01-01-99,Senior Engineer,d004,,,,,
263439,Atreye,Kabayashi,09-01-65,15-12-86,01-01-99,Senior Engineer,d005,,,,,
263645,Mingsen,Lally,19-01-65,04-12-90,01-01-99,Senior Engineer,d005,,,,,
264167,Baoqiu,Tomescu,25-01-65,01-05-96,01-01-99,Senior Engineer,d005,,,,,
264939,Bogdan,Bahi,10-01-65,13-02-99,01-01-99,Senior Engineer,d004,,,,,
267227,Susuma,Tagansky,10-01-65,22-01-95,01-01-99,Senior Engineer,d004,,,,,
268191,LiMin,Teitelbaum,07-01-65,01-11-90,01-01-99,Senior Engineer,d004,,,,,
273286,Brigham,Asmuth,26-01-65,23-01-89,01-01-99,Senior Engineer,d005,,,,,
275881,Jiann,Munro,08-01-65,18-05-88,01-01-99,Senior Engineer,d004,,,,,
275994,Uma,Prampolini,29-01-65,21-02-91,01-01-99,Senior Engineer,d004,,,,,
277777,Herbert,Itzigehl,27-01-65,04-07-90,01-01-99,Senior Engineer,d005,,,,,
277829,Michaela,Fandrianto,22-01-65,02-06-86,01-01-99,Senior Engineer,d005,,,,,
278953,Jeanna,Ghandeharizadeh,26-01-65,11-08-90,01-01-99,Senior Engineer,d005,,,,,
281692,Khosrow,Sommen,06-01-65,03-03-90,01-01-99,Senior Engineer,d006,,,,,
281848,Parke,Staylopatis,29-01-65,31-07-93,01-01-99,Senior Engineer,d005,,,,,
281859,Masanao,Papastamatiou,17-01-65,25-11-85,01-01-99,Senior Engineer,d004,,,,,
284561,Duri,Beznosov,03-01-65,15-02-88,01-01-99,Senior Engineer,d006,,,,,
284687,Oksana,Redmiles,15-01-65,22-06-85,01-01-99,Senior Engineer,d005,,,,,
284711,Martijn,Azevdeo,21-01-65,10-02-88,01-01-99,Senior Engineer,d005,,,,,
286986,Woody,Trelles,01-01-65,23-05-96,01-01-99,Senior Engineer,d005,,,,,
287984,Troy,Kobuchi,09-01-65,12-02-91,01-01-99,Senior Engineer,d005,,,,,
288665,Horward,Khasidashvili,31-01-65,19-11-98,01-01-99,Senior Engineer,d005,,,,,
289454,Bowen,Narwekar,20-01-65,08-03-85,01-01-99,Senior Engineer,d005,,,,,
290563,Shigehiro,Oxenboll,09-01-65,26-02-86,01-01-99,Senior Engineer,d004,,,,,
290769,Lalit,Blokdijk,26-01-65,01-02-99,01-01-99,Senior Engineer,d005,,,,,
293329,Fumiya,Griswold,15-01-65,12-06-86,01-01-99,Senior Engineer,d005,,,,,
294461,Siddarth,Rosiles,14-01-65,18-11-85,01-01-99,Senior Engineer,d005,,,,,
294857,Caolyn,Ozeri,15-01-65,29-07-86,01-01-99,Senior Engineer,d005,,,,,
296664,Dipayan,Geffroy,31-01-65,17-09-87,01-01-99,Senior Engineer,d004,,,,,
296718,Kamakshi,Bahl,30-01-65,22-12-87,01-01-99,Senior Engineer,d004,,,,,
402025,Shigehito,Duclos,20-01-65,20-09-87,01-01-99,Senior Engineer,d006,,,,,
402664,Subhada,Janetzko,04-01-65,25-01-87,01-01-99,Senior Engineer,d004,,,,,
402718,Jeanna,Rettelbach,17-01-65,14-02-90,01-01-99,Senior Engineer,d005,,,,,
403010,Toshimitsu,Sluis,16-01-65,18-02-85,01-01-99,Senior Engineer,d005,,,,,
404018,Valery,Babb,11-01-65,19-10-98,01-01-99,Senior Engineer,d005,,,,,
404236,Zengping,Kakkar,12-01-65,22-07-88,01-01-99,Senior Engineer,d005,,,,,
405063,Yechezkel,Yurov,26-01-65,16-11-01,01-01-99,Senior Engineer,d004,,,,,
408019,Shridhar,Chleq,01-01-65,22-03-86,01-01-99,Senior Engineer,d004,,,,,
408163,Irene,Sethi,21-01-65,12-08-00,01-01-99,Senior Engineer,d005,,,,,
408953,Jolita,Claffy,26-01-65,24-12-93,01-01-99,Senior Engineer,d005,,,,,
409805,Frazer,Candan,15-01-65,05-03-99,01-01-99,Senior Engineer,d006,,,,,
410433,Kazuhisa,Riesenhuber,19-01-65,06-10-92,01-01-99,Senior Engineer,d004,,,,,
410616,Gudjon,Kalorkoti,18-01-65,14-04-94,01-01-99,Senior Engineer,d005,,,,,
410804,Ronnie,Denos,17-01-65,08-06-92,01-01-99,Senior Engineer,d004,,,,,
410881,Koichi,Grabner,06-01-65,05-04-00,01-01-99,Senior Engineer,d004,,,,,
411082,Martine,Cangellaris,08-01-65,28-04-92,01-01-99,Senior Engineer,d004,,,,,
412404,Mitsuyuki,Jeansoulin,15-01-65,28-10-99,01-01-99,Senior Engineer,d004,,,,,
414543,Bernd,Anick,03-01-65,19-11-88,01-01-99,Senior Engineer,d004,,,,,
416492,Kannan,Meriste,15-01-65,12-08-92,01-01-99,Senior Engineer,d005,,,,,
416660,Nathalie,Luke,28-01-65,16-09-87,01-01-99,Senior Engineer,d005,,,,,
418239,Josyula,Motley,03-01-65,26-03-96,01-01-99,Senior Engineer,d004,,,,,
418298,Arvin,Pusterhofer,08-01-65,02-03-95,01-01-99,Senior Engineer,d004,,,,,
418309,Danel,Petereit,24-01-65,21-02-85,01-01-99,Senior Engineer,d004,,,,,
418380,Kazuhiko,Gornas,02-01-65,20-05-93,01-01-99,Senior Engineer,d004,,,,,
418566,Kazuhide,Snedden,27-01-65,14-06-96,01-01-99,Senior Engineer,d004,,,,,
423633,Mariusz,Tokunaga,30-01-65,11-02-85,01-01-99,Senior Engineer,d005,,,,,
426644,Zejun,Broomell,13-01-65,19-01-95,01-01-99,Senior Engineer,d004,,,,,
426706,Karsten,Kawashima,07-01-65,15-03-94,01-01-99,Senior Engineer,d004,,,,,
427320,Mamdouh,Ramamoorthy,13-01-65,13-01-00,01-01-99,Senior Engineer,d005,,,,,
427852,Adil,Kieras,02-01-65,20-07-92,01-01-99,Senior Engineer,d004,,,,,
429249,Alassane,Wolniewicz,28-01-65,09-11-93,01-01-99,Senior Engineer,d005,,,,,
430891,Khalil,Gien,06-01-65,06-08-91,01-01-99,Senior Engineer,d004,,,,,
431887,Poorav,Ranst,05-01-65,01-06-96,01-01-99,Senior Engineer,d005,,,,,
432261,Arve,Bergere,30-01-65,28-07-87,01-01-99,Senior Engineer,d005,,,,,
432399,Nitsan,Nollmann,19-01-65,29-09-93,01-01-99,Senior Engineer,d004,,,,,
432787,Toshiko,Ibel,16-01-65,23-11-96,01-01-99,Senior Engineer,d005,,,,,
436558,Subir,Greibach,08-01-65,24-05-92,01-01-99,Senior Engineer,d005,,,,,
439377,Mari,Plessier,28-01-65,04-07-97,01-01-99,Senior Engineer,d005,,,,,
440435,Sandeepan,Rosti,03-01-65,26-11-91,01-01-99,Senior Engineer,d005,,,,,
441536,Chinho,Collette,10-01-65,09-10-95,01-01-99,Senior Engineer,d004,,,,,
442096,Martijn,DiGiano,15-01-65,15-06-90,01-01-99,Senior Engineer,d004,,,,,
444465,Prasadram,Bultermann,13-01-65,25-10-98,01-01-99,Senior Engineer,d004,,,,,
444487,Udi,Rullman,03-01-65,09-04-94,01-01-99,Senior Engineer,d005,,,,,
446306,Hercules,Kabayashi,22-01-65,10-06-91,01-01-99,Senior Engineer,d004,,,,,
446424,DAIDA,Nooteboom,16-01-65,24-11-85,01-01-99,Senior Engineer,d005,,,,,
446959,Aram,Passino,29-01-65,28-01-95,01-01-99,Senior Engineer,d005,,,,,
447613,Paris,Restivo,15-01-65,21-11-86,01-01-99,Senior Engineer,d005,,,,,
447982,Shiv,Baezner,25-01-65,17-12-90,01-01-99,Senior Engineer,d004,,,,,
450184,Selwyn,Henseler,11-01-65,09-03-93,01-01-99,Senior Engineer,d005,,,,,
450817,DAIDA,Frolund,10-01-65,17-07-87,01-01-99,Senior Engineer,d006,,,,,
452137,Subir,Miake,15-01-65,09-01-99,01-01-99,Senior Engineer,d004,,,,,
452956,Gou,Thombley,17-01-65,07-11-90,01-01-99,Senior Engineer,d004,,,,,
453723,Arne,Kohling,15-01-65,13-12-85,01-01-99,Senior Engineer,d004,,,,,
454791,Xiaoqiu,Pietracaprina,22-01-65,09-07-94,01-01-99,Senior Engineer,d004,,,,,
454825,Kamakshi,Schusler,02-01-65,25-05-95,01-01-99,Senior Engineer,d004,,,,,
454994,Mohan,Picht,01-01-65,24-02-91,01-01-99,Senior Engineer,d004,,,,,
456982,Shounak,Dratva,07-01-65,05-01-89,01-01-99,Senior Engineer,d005,,,,,
457411,Xudong,Peck,13-01-65,18-04-88,01-01-99,Senior Engineer,d005,,,,,
457776,Florian,Siepmann,15-01-65,21-12-87,01-01-99,Senior Engineer,d004,,,,,
457832,Jackson,Zielinski,01-02-65,12-09-97,01-01-99,Senior Engineer,d005,,,,,
458790,Ramya,Azadmanesh,17-01-65,19-11-88,01-01-99,Senior Engineer,d004,,,,,
463212,Ramya,Rossi,09-01-65,02-09-01,01-01-99,Senior Engineer,d004,,,,,
466509,Bezalel,Verhoeff,26-01-65,22-03-88,01-01-99,Senior Engineer,d005,,,,,
468417,Kamakshi,Huhdanpaa,25-01-65,26-08-93,01-01-99,Senior Engineer,d004,,,,,
468773,Baziley,Brookner,27-01-65,22-09-93,01-01-99,Senior Engineer,d006,,,,,
469104,Nadjib,Comellas,21-01-65,22-01-99,01-01-99,Senior Engineer,d004,,,,,
469253,Baruch,Basawa,17-01-65,17-09-93,01-01-99,Senior Engineer,d005,,,,,
469366,Aiman,Wilfing,12-01-65,30-12-90,01-01-99,Senior Engineer,d006,,,,,
469529,Neven,Rikino,07-01-65,21-10-88,01-01-99,Senior Engineer,d006,,,,,
469735,Arif,Stranks,30-01-65,16-11-92,01-01-99,Senior Engineer,d005,,,,,
470472,Zhiguo,Staudhammer,01-02-65,03-12-85,01-01-99,Senior Engineer,d005,,,,,
472238,Jungsoon,Gubsky,31-01-65,09-10-90,01-01-99,Senior Engineer,d004,,,,,
472790,Zhenbing,Ibel,23-01-65,29-10-85,01-01-99,Senior Engineer,d005,,,,,
472950,Weidon,Fordan,29-01-65,27-03-86,01-01-99,Senior Engineer,d004,,,,,
475087,Genevieve,Snedden,31-01-65,21-10-88,01-01-99,Senior Engineer,d004,,,,,
475965,Rimon,Pietracaprina,02-01-65,10-07-85,01-01-99,Senior Engineer,d005,,,,,
477969,Bluma,Mundy,18-01-65,18-10-91,01-01-99,Senior Engineer,d005,,,,,
478833,Pradeep,Valiente,30-01-65,19-09-92,01-01-99,Senior Engineer,d004,,,,,
480407,Deniz,Bennis,01-01-65,24-06-89,01-01-99,Senior Engineer,d005,,,,,
481764,Teiji,Marrakchi,27-01-65,26-08-86,01-01-99,Senior Engineer,d004,,,,,
481790,Haldun,Erie,22-01-65,01-01-99,01-01-99,Senior Engineer,d005,,,,,
483675,Hausi,Kamber,22-01-65,16-02-88,01-01-99,Senior Engineer,d004,,,,,
483825,Marek,Mitchem,22-01-65,20-11-92,01-01-99,Senior Engineer,d004,,,,,
484498,Herbert,Hammerschmidt,26-01-65,22-08-96,01-01-99,Senior Engineer,d004,,,,,
484756,Phule,Ruemmler,16-01-65,09-08-90,01-01-99,Senior Engineer,d005,,,,,
485489,Keiichiro,Armand,01-01-65,14-12-86,01-01-99,Senior Engineer,d005,,,,,
485577,Rafael,Menhoudj,30-01-65,27-04-97,01-01-99,Senior Engineer,d005,,,,,
486808,Geoffrey,Siochi,05-01-65,27-12-98,01-01-99,Senior Engineer,d006,,,,,
486958,Tonny,Kropf,06-01-65,30-07-86,01-01-99,Senior Engineer,d005,,,,,
488693,Jiong,Zultner,27-01-65,10-03-93,01-01-99,Senior Engineer,d005,,,,,
490568,Zita,Reistad,01-01-65,23-07-98,01-01-99,Senior Engineer,d005,,,,,
490720,Younwoo,Samarati,19-01-65,18-05-02,01-01-99,Senior Engineer,d004,,,,,
491079,Kwangsub,Keirsey,06-01-65,04-02-92,01-01-99,Senior Engineer,d005,,,,,
491162,Panayotis,Hempstead,14-01-65,29-08-94,01-01-99,Senior Engineer,d005,,,,,
492217,Heekeun,Verhaegen,16-01-65,28-09-91,01-01-99,Senior Engineer,d005,,,,,
493744,Leni,Kropatsch,14-01-65,17-07-97,01-01-99,Senior Engineer,d004,,,,,
496970,Giordano,Maquelin,03-01-65,31-12-99,01-01-99,Senior Engineer,d004,,,,,
498185,Caolyn,Marciano,19-01-65,06-06-99,01-01-99,Senior Engineer,d005,,,,,
498845,Arumugam,Pelc,09-01-65,13-11-99,01-01-99,Senior Engineer,d005,,,,,
10095,Hilari,Morton,03-01-65,10-03-94,01-01-99,Senior Staff,d007,,,,,
10291,Dipayan,Seghrouchni,23-01-65,30-03-87,01-01-99,Senior Staff,d007,,,,,
10476,Kokou,Iisaka,01-01-65,20-09-87,01-01-99,Senior Staff,d008,,,,,
10762,Lech,Himler,19-01-65,21-01-92,01-01-99,Senior Staff,d008,,,,,
14104,Sudhanshu,Demian,03-01-65,23-07-94,01-01-99,Senior Staff,d003,,,,,
14158,Caolyn,Setiz,22-01-65,06-02-90,01-01-99,Senior Staff,d007,,,,,
14907,Nakhoon,Luga,14-01-65,18-12-86,01-01-99,Senior Staff,d007,,,,,
15058,Bouchung,Bugrara,30-01-65,18-06-90,01-01-99,Senior Staff,d002,,,,,
16461,Remmert,Schahn,14-01-65,06-09-86,01-01-99,Senior Staff,d007,,,,,
19350,Satoru,Yoshizawa,19-01-65,27-03-94,01-01-99,Senior Staff,d009,,,,,
20128,Kazunori,Peak,23-01-65,13-08-99,01-01-99,Senior Staff,d009,,,,,
21546,Yongmin,Lanteri,01-01-65,19-03-02,01-01-99,Senior Staff,d001,,,,,
21909,Mohammed,Brizzi,04-01-65,28-12-91,01-01-99,Senior Staff,d007,,,,,
22415,Perla,Jumpertz,20-01-65,24-08-94,01-01-99,Senior Staff,d007,,,,,
22451,Jasminko,Bresenham,27-01-65,19-01-94,01-01-99,Senior Staff,d005,,,,,
22455,Barry,Unno,06-01-65,16-11-90,01-01-99,Senior Staff,d001,,,,,
25488,Ingmar,Basawa,19-01-65,09-11-91,01-01-99,Senior Staff,d008,,,,,
26629,Nevin,Rodham,28-01-65,14-12-98,01-01-99,Senior Staff,d008,,,,,
27331,Wanqing,Krohm,19-01-65,22-01-91,01-01-99,Senior Staff,d009,,,,,
27378,Piyawadee,Leppanen,28-01-65,25-02-99,01-01-99,Senior Staff,d002,,,,,
27686,Manu,Rosiles,28-01-65,03-03-98,01-01-99,Senior Staff,d007,,,,,
27767,Tooru,Veldwijk,27-01-65,21-11-93,01-01-99,Senior Staff,d009,,,,,
29265,Gilbert,Calkin,14-01-65,21-03-88,01-01-99,Senior Staff,d009,,,,,
30035,Tetsushi,Conta,08-01-65,04-07-95,01-01-99,Senior Staff,d008,,,,,
30938,Yakkov,Samarati,06-01-65,10-10-97,01-01-99,Senior Staff,d001,,,,,
31147,Divine,Sidhu,04-01-65,05-07-89,01-01-99,Senior Staff,d002,,,,,
31341,Oksana,Zultner,01-01-65,23-03-91,01-01-99,Senior Staff,d002,,,,,
32649,Ingmar,Nannarelli,12-01-65,10-06-88,01-01-99,Senior Staff,d008,,,,,
33025,Jessie,Thorelli,12-01-65,16-12-99,01-01-99,Senior Staff,d009,,,,,
34077,Angel,Sichman,08-01-65,16-11-88,01-01-99,Senior Staff,d007,,,,,
34261,Kyoichi,Callaway,05-01-65,30-12-90,01-01-99,Senior Staff,d003,,,,,
34505,Felicidad,Kumaresan,28-01-65,06-09-94,01-01-99,Senior Staff,d007,,,,,
35087,Leif,Ashish,17-01-65,14-10-94,01-01-99,Senior Staff,d009,,,,,
35793,Oscar,Kusalik,01-01-65,11-05-91,01-01-99,Senior Staff,d009,,,,,
36626,Fen,Genin,02-01-65,09-05-86,01-01-99,Senior Staff,d007,,,,,
38168,Fumiko,Deverell,14-01-65,15-08-87,01-01-99,Senior Staff,d007,,,,,
39000,Martijn,Vendrig,08-01-65,03-03-97,01-01-99,Senior Staff,d008,,,,,
41137,Bikash,Buchter,20-01-65,08-01-96,01-01-99,Senior Staff,d007,,,,,
41609,Yucai,Simmen,04-01-65,13-10-87,01-01-99,Senior Staff,d007,,,,,
42778,Shuji,Remmers,19-01-65,18-12-87,01-01-99,Senior Staff,d003,,,,,
42950,Shaleah,Eickenmeyer,22-01-65,09-10-93,01-01-99,Senior Staff,d008,,,,,
43733,Huei,Boguraev,26-01-65,31-12-93,01-01-99,Senior Staff,d003,,,,,
44900,Mark,Schwaller,05-01-65,10-08-94,01-01-99,Senior Staff,d001,,,,,
46000,Zhaofang,Penn,26-01-65,24-07-97,01-01-99,Senior Staff,d009,,,,,
46328,Wuxu,Trogemann,05-01-65,27-01-97,01-01-99,Senior Staff,d007,,,,,
46834,Tooru,Daescu,22-01-65,20-03-98,01-01-99,Senior Staff,d007,,,,,
47016,Toong,Litecky,03-01-65,01-03-89,01-01-99,Senior Staff,d009,,,,,
47702,Juyoung,Vieri,21-01-65,12-08-91,01-01-99,Senior Staff,d007,,,,,
47708,Edwin,Haldar,05-01-65,12-07-95,01-01-99,Senior Staff,d001,,,,,
48275,Sariel,Massonet,29-01-65,20-11-87,01-01-99,Senior Staff,d007,,,,,
48904,Yuichiro,Malabarba,23-01-65,07-03-94,01-01-99,Senior Staff,d002,,,,,
48947,Filipp,Akaboshi,05-01-65,20-05-92,01-01-99,Senior Staff,d007,,,,,
49010,Kazuhisa,Benantar,16-01-65,30-03-90,01-01-99,Senior Staff,d001,,,,,
49477,Baocai,Leaver,14-01-65,05-08-98,01-01-99,Senior Staff,d003,,,,,
50670,Boguslaw,Snedden,30-01-65,20-02-85,01-01-99,Senior Staff,d001,,,,,
51057,Theirry,Albarhamtoshy,29-01-65,27-09-91,01-01-99,Senior Staff,d001,,,,,
52283,Trygve,Krupka,20-01-65,11-03-94,01-01-99,Senior Staff,d008,,,,,
52590,Jouni,Munoz,21-01-65,07-10-96,01-01-99,Senior Staff,d005,,,,,
52639,Arup,Colorni,09-01-65,05-02-96,01-01-99,Senior Staff,d007,,,,,
52770,Shugo,Yurek,31-01-65,28-08-92,01-01-99,Senior Staff,d007,,,,,
53278,Premsyl,Lortz,31-01-65,01-02-93,01-01-99,Senior Staff,d007,,,,,
53431,Sham,Vasanthakumar,12-01-65,24-05-93,01-01-99,Senior Staff,d001,,,,,
53874,Bodo,Schade,23-01-65,14-02-86,01-01-99,Senior Staff,d001,,,,,
54632,Etsuo,Serot,19-01-65,14-06-89,01-01-99,Senior Staff,d002,,,,,
54795,Sumant,Nergos,29-01-65,02-03-94,01-01-99,Senior Staff,d004,,,,,
55857,Adin,Scallan,18-01-65,15-09-87,01-01-99,Senior Staff,d007,,,,,
56415,Sigeru,Nivat,30-01-65,24-10-91,01-01-99,Senior Staff,d002,,,,,
58147,Shigenori,Sullins,09-01-65,24-02-88,01-01-99,Senior Staff,d001,,,,,
58497,Yechiam,Cairo,22-01-65,21-10-00,01-01-99,Senior Staff,d001,,,,,
58819,Gennady,Liesche,04-01-65,02-12-87,01-01-99,Senior Staff,d007,,,,,
59869,Zsolt,Riefers,01-02-65,25-09-87,01-01-99,Senior Staff,d001,,,,,
60091,Surveyors,Bade,01-02-65,11-04-90,01-01-99,Senior Staff,d009,,,,,
60821,Moty,Mersereau,02-01-65,03-09-91,01-01-99,Senior Staff,d003,,,,,
60959,Tetsushi,Sridhar,09-01-65,19-10-89,01-01-99,Senior Staff,d001,,,,,
61377,Dannz,Ohori,01-01-65,13-04-97,01-01-99,Senior Staff,d004,,,,,
63566,Heekeun,Slaats,31-01-65,12-01-99,01-01-99,Senior Staff,d007,,,,,
64209,Golgen,Schoegge,24-01-65,26-02-88,01-01-99,Senior Staff,d009,,,,,
64632,Zsolt,Brender,07-01-65,21-02-96,01-01-99,Senior Staff,d007,,,,,
65883,Patricia,Pepe,07-01-65,19-04-91,01-01-99,Senior Staff,d007,,,,,
65998,Mandell,Alameldin,09-01-65,08-04-89,01-01-99,Senior Staff,d007,,,,,
67320,Sadok,Lorys,18-01-65,10-05-87,01-01-99,Senior Staff,d001,,,,,
69052,Shietung,Shrader,26-01-65,05-08-95,01-01-99,Senior Staff,d007,,,,,
69219,Shuky,Redmiles,09-01-65,19-11-94,01-01-99,Senior Staff,d001,,,,,
70469,Tru,Miyakawa,12-01-65,03-09-90,01-01-99,Senior Staff,d001,,,,,
74668,Masako,Bonifati,01-01-65,09-04-87,01-01-99,Senior Staff,d007,,,,,
78106,Ashish,Ratnaker,09-01-65,17-01-00,01-01-99,Senior Staff,d001,,,,,
79310,Jeong,Cunliffe,24-01-65,27-10-96,01-01-99,Senior Staff,d001,,,,,
79763,Sanjoy,Barreiro,20-01-65,09-04-88,01-01-99,Senior Staff,d001,,,,,
79895,Fei,Murtagh,30-01-65,19-01-86,01-01-99,Senior Staff,d007,,,,,
80432,Stella,Figueira,17-01-65,14-03-90,01-01-99,Senior Staff,d008,,,,,
80731,Shaowen,Eldridge,25-01-65,05-12-87,01-01-99,Senior Staff,d007,,,,,
82351,Stevo,Thambidurai,26-01-65,27-10-89,01-01-99,Senior Staff,d003,,,,,
83544,Leaf,Baak,18-01-65,05-09-94,01-01-99,Senior Staff,d007,,,,,
85216,Ferdinand,Rosiles,18-01-65,08-07-97,01-01-99,Senior Staff,d002,,,,,
85874,Pasqua,Taubman,30-01-65,23-06-86,01-01-99,Senior Staff,d009,,,,,
86213,Kristine,Clemencon,28-01-65,01-06-93,01-01-99,Senior Staff,d001,,,,,
86422,Jaewon,Thummel,01-02-65,14-09-85,01-01-99,Senior Staff,d001,,,,,
87729,Yongmin,Roccetti,24-01-65,10-12-86,01-01-99,Senior Staff,d008,,,,,
88103,Goo,Bresenham,09-01-65,31-01-99,01-01-99,Senior Staff,d007,,,,,
88958,Vojin,Coombs,22-01-65,23-07-95,01-01-99,Senior Staff,d002,,,,,
89590,Guther,Rothenberg,27-01-65,08-08-91,01-01-99,Senior Staff,d008,,,,,
89941,Arnould,Weedman,23-01-65,28-07-89,01-01-99,Senior Staff,d001,,,,,
90692,Rajmohan,DasSarma,03-01-65,14-09-85,01-01-99,Senior Staff,d001,,,,,
91415,Jamaludin,Nilsson,04-01-65,15-01-87,01-01-99,Senior Staff,d007,,,,,
91648,Dmitry,Msuda,29-01-65,22-10-88,01-01-99,Senior Staff,d001,,,,,
92685,Mang,Atchley,26-01-65,07-06-95,01-01-99,Senior Staff,d007,,,,,
92841,Claude,Candan,22-01-65,04-08-93,01-01-99,Senior Staff,d007,,,,,
92846,Anyuan,Kropatsch,11-01-65,05-09-86,01-01-99,Senior Staff,d001,,,,,
94416,Aran,Cesareni,01-01-65,20-11-01,01-01-99,Senior Staff,d002,,,,,
95920,Nobuyoshi,Hegner,19-01-65,07-09-94,01-01-99,Senior Staff,d002,,,,,
97623,Haldon,Janetzko,25-01-65,11-09-90,01-01-99,Senior Staff,d003,,,,,
97661,Avishai,Hegner,31-01-65,08-05-93,01-01-99,Senior Staff,d008,,,,,
99373,Xiaobin,Christianini,13-01-65,25-12-85,01-01-99,Senior Staff,d009,,,,,
99654,Mahendra,Motley,30-01-65,28-09-85,01-01-99,Senior Staff,d008,,,,,
101647,Mori,Homond,22-01-65,10-05-94,01-01-99,Senior Staff,d007,,,,,
101902,Mantis,Millington,14-01-65,18-03-91,01-01-99,Senior Staff,d007,,,,,
103196,Djenana,Albarhamtoshy,16-01-65,16-07-88,01-01-99,Senior Staff,d003,,,,,
103310,Visit,Swen,07-01-65,02-10-95,01-01-99,Senior Staff,d001,,,,,
104133,Pranjal,Zyda,31-01-65,03-07-91,01-01-99,Senior Staff,d007,,,,,
105520,Haldun,Lienhardt,01-01-65,29-01-87,01-01-99,Senior Staff,d007,,,,,
106242,Nevio,Thisen,01-02-65,25-03-88,01-01-99,Senior Staff,d003,,,,,
106710,Babette,Anandan,31-01-65,22-11-86,01-01-99,Senior Staff,d001,,,,,
107792,Shahab,Crooks,13-01-65,18-03-92,01-01-99,Senior Staff,d001,,,,,
108198,Randi,Samarati,24-01-65,20-10-92,01-01-99,Senior Staff,d008,,,,,
108988,Oksana,Baek,19-01-65,20-07-89,01-01-99,Senior Staff,d007,,,,,
109278,Bangqing,Schach,21-01-65,22-03-88,01-01-99,Senior Staff,d002,,,,,
109598,Stamatina,Auyong,01-02-65,05-07-88,01-01-99,Senior Staff,d002,,,,,
109620,Mani,Cannata,02-01-65,21-06-89,01-01-99,Senior Staff,d007,,,,,
200735,Dinah,Denos,09-01-65,21-09-92,01-01-99,Senior Staff,d001,,,,,
200789,Susumu,Camurati,14-01-65,15-12-91,01-01-99,Senior Staff,d001,,,,,
202414,Zvonko,Murthy,13-01-65,07-01-92,01-01-99,Senior Staff,d009,,,,,
202950,Giordano,Pietrzykowski,17-01-65,26-03-87,01-01-99,Senior Staff,d003,,,,,
203474,Hugh,Jonsson,03-01-65,06-07-91,01-01-99,Senior Staff,d007,,,,,
203720,Sasan,Thimonier,30-01-65,21-08-96,01-01-99,Senior Staff,d007,,,,,
203946,Yefim,Marwedel,23-01-65,30-03-93,01-01-99,Senior Staff,d003,,,,,
204133,Susuma,Bergere,22-01-65,25-02-96,01-01-99,Senior Staff,d002,,,,,
204246,Arve,Worfolk,09-01-65,01-04-85,01-01-99,Senior Staff,d008,,,,,
205789,Limsoon,Skafidas,31-01-65,10-08-99,01-01-99,Senior Staff,d002,,,,,
206836,Guadalupe,Pfau,12-01-65,22-03-93,01-01-99,Senior Staff,d008,,,,,
207068,Zhiguo,Ariola,13-01-65,07-09-94,01-01-99,Senior Staff,d001,,,,,
207401,Shuji,Barbanera,04-01-65,10-08-87,01-01-99,Senior Staff,d008,,,,,
207779,Chinya,Kamble,16-01-65,31-05-92,01-01-99,Senior Staff,d008,,,,,
207980,Remko,Vieth,07-01-65,22-11-90,01-01-99,Senior Staff,d003,,,,,
208639,Larisa,Lukaszewicz,27-01-65,30-10-96,01-01-99,Senior Staff,d007,,,,,
209443,Krassimir,Garnier,19-01-65,26-01-98,01-01-99,Senior Staff,d003,,,,,
209565,Dante,Covnot,09-01-65,28-05-89,01-01-99,Senior Staff,d001,,,,,
210752,Saniya,Stenning,25-01-65,10-12-86,01-01-99,Senior Staff,d001,,,,,
212093,Leni,Henders,11-01-65,19-11-93,01-01-99,Senior Staff,d003,,,,,
212154,Sailaja,Holburn,17-01-65,04-03-91,01-01-99,Senior Staff,d009,,,,,
